,Código Departamento,Departamento,Código Entidad,Entidad,Indicador,Dato Numérico,Año
462674,70.0,Sucre,70001.0,Sincelejo,Población total de hombres,"134.448,00",2018.0
462675,70.0,Sucre,70110.0,Buenavista,Población total de hombres,"5.236,00",2018.0
462676,70.0,Sucre,70124.0,Caimito,Población total de hombres,"7.942,00",2018.0
462677,70.0,Sucre,70204.0,Colosó,Población total de hombres,"4.513,00",2018.0
462678,70.0,Sucre,70215.0,Corozal,Población total de hombres,"33.239,00",2018.0
462679,70.0,Sucre,70221.0,Coveñas,Población total de hombres,"10.267,00",2018.0
462680,70.0,Sucre,70230.0,Chalán,Población total de hombres,"2.385,00",2018.0
462681,70.0,Sucre,70233.0,El Roble,Población total de hombres,"5.123,00",2018.0
462682,70.0,Sucre,70235.0,Galeras,Población total de hombres,"11.251,00",2018.0
462683,70.0,Sucre,70265.0,Guaranda,Población total de hombres,"9.194,00",2018.0
462684,70.0,Sucre,70400.0,La Unión,Población total de hombres,"6.420,00",2018.0
462685,70.0,Sucre,70418.0,Los Palmitos,Población total de hombres,"11.656,00",2018.0
462686,70.0,Sucre,70429.0,Majagual,Población total de hombres,"19.085,00",2018.0
462687,70.0,Sucre,70473.0,Morroa,Población total de hombres,"7.565,00",2018.0
462688,70.0,Sucre,70508.0,Ovejas,Población total de hombres,"11.779,00",2018.0
462689,70.0,Sucre,70523.0,Palmito,Población total de hombres,"7.299,00",2018.0
462690,70.0,Sucre,70670.0,Sampués,Población total de hombres,"23.557,00",2018.0
462691,70.0,Sucre,70678.0,San Benito Abad,Población total de hombres,"15.054,00",2018.0
462692,70.0,Sucre,70702.0,San Juan de Betulia,Población total de hombres,"6.933,00",2018.0
462693,70.0,Sucre,70708.0,San Marcos,Población total de hombres,"28.801,00",2018.0
462694,70.0,Sucre,70713.0,San Onofre,Población total de hombres,"25.290,00",2018.0
462695,70.0,Sucre,70717.0,San Pedro,Población total de hombres,"9.406,00",2018.0
462696,70.0,Sucre,70742.0,San Luis de Sincé,Población total de hombres,"15.539,00",2018.0
462698,70.0,Sucre,70823.0,Tolú Viejo,Población total de hombres,"10.863,00",2018.0
462699,70.0,Sucre,70820.0,Santiago de Tolú,Población total de hombres,"16.229,00",2018.0
462700,68.0,Santander,68867.0,Vetas,Población total de hombres,"1.077,00",2018.0
462701,68.0,Santander,68872.0,Villanueva,Población total de hombres,"3.860,00",2018.0
462702,68.0,Santander,68895.0,Zapatoca,Población total de hombres,"4.599,00",2018.0
462703,68.0,Santander,68207.0,Concepción,Población total de hombres,"2.912,00",2018.0
462704,68.0,Santander,68209.0,Confines,Población total de hombres,"1.673,00",2018.0
462705,68.0,Santander,68211.0,Contratación,Población total de hombres,"1.827,00",2018.0
462706,68.0,Santander,68217.0,Coromoro,Población total de hombres,"2.667,00",2018.0
462707,68.0,Santander,68229.0,Curití,Población total de hombres,"6.346,00",2018.0
462708,68.0,Santander,68235.0,El Carmen de Chucurí,Población total de hombres,"10.849,00",2018.0
462709,68.0,Santander,68245.0,El Guacamayo,Población total de hombres,"1.085,00",2018.0
462710,68.0,Santander,68250.0,El Peñón,Población total de hombres,"2.813,00",2018.0
462711,68.0,Santander,68255.0,El Playón,Población total de hombres,"7.077,00",2018.0
462712,68.0,Santander,68264.0,Encino,Población total de hombres,"1.331,00",2018.0
462713,68.0,Santander,68266.0,Enciso,Población total de hombres,"1.776,00",2018.0
462714,68.0,Santander,68271.0,Florián,Población total de hombres,"2.877,00",2018.0
462715,68.0,Santander,68276.0,Floridablanca,Población total de hombres,"137.635,00",2018.0
462716,68.0,Santander,68296.0,Galán,Población total de hombres,"1.485,00",2018.0
462717,68.0,Santander,68298.0,Gámbita,Población total de hombres,"2.109,00",2018.0
462718,68.0,Santander,68307.0,Girón,Población total de hombres,"78.677,00",2018.0
462719,68.0,Santander,68318.0,Guaca,Población total de hombres,"3.120,00",2018.0
462720,68.0,Santander,68320.0,Guadalupe,Población total de hombres,"2.279,00",2018.0
462721,68.0,Santander,68322.0,Guapotá,Población total de hombres,"1.233,00",2018.0
462722,68.0,Santander,68324.0,Guavatá,Población total de hombres,"2.143,00",2018.0
462723,68.0,Santander,68327.0,Güepsa,Población total de hombres,"2.588,00",2018.0
462724,68.0,Santander,68344.0,Hato,Población total de hombres,"1.250,00",2018.0
462725,68.0,Santander,68368.0,Jesús María,Población total de hombres,"1.706,00",2018.0
462726,68.0,Santander,68370.0,Jordán,Población total de hombres,"667,00",2018.0
462727,68.0,Santander,68377.0,La Belleza,Población total de hombres,"3.195,00",2018.0
462728,68.0,Santander,68385.0,Landázuri,Población total de hombres,"5.369,00",2018.0
462729,68.0,Santander,68397.0,La Paz,Población total de hombres,"2.599,00",2018.0
462730,68.0,Santander,68406.0,Lebrija,Población total de hombres,"21.432,00",2018.0
462731,68.0,Santander,68418.0,Los Santos,Población total de hombres,"7.338,00",2018.0
462732,68.0,Santander,68425.0,Macaravita,Población total de hombres,"1.139,00",2018.0
462733,68.0,Santander,68432.0,Málaga,Población total de hombres,"10.018,00",2018.0
462734,68.0,Santander,68444.0,Matanza,Población total de hombres,"2.612,00",2018.0
462735,68.0,Santander,68464.0,Mogotes,Población total de hombres,"5.313,00",2018.0
462736,68.0,Santander,68468.0,Molagavita,Población total de hombres,"2.191,00",2018.0
462737,68.0,Santander,68498.0,Ocamonte,Población total de hombres,"3.012,00",2018.0
462738,68.0,Santander,68500.0,Oiba,Población total de hombres,"5.432,00",2018.0
462739,68.0,Santander,68502.0,Onzaga,Población total de hombres,"2.195,00",2018.0
462740,68.0,Santander,68522.0,Palmar,Población total de hombres,"696,00",2018.0
462741,68.0,Santander,68524.0,Palmas del Socorro,Población total de hombres,"1.288,00",2018.0
462742,68.0,Santander,68533.0,Páramo,Población total de hombres,"2.433,00",2018.0
462743,68.0,Santander,68547.0,Piedecuesta,Población total de hombres,"82.786,00",2018.0
462744,68.0,Santander,68549.0,Pinchote,Población total de hombres,"2.640,00",2018.0
462745,68.0,Santander,68572.0,Puente Nacional,Población total de hombres,"7.310,00",2018.0
462746,68.0,Santander,68573.0,Puerto Parra,Población total de hombres,"3.948,00",2018.0
462747,68.0,Santander,68575.0,Puerto Wilches,Población total de hombres,"16.876,00",2018.0
462748,68.0,Santander,68615.0,Rionegro,Población total de hombres,"13.967,00",2018.0
462749,68.0,Santander,68655.0,Sabana de Torres,Población total de hombres,"16.769,00",2018.0
462750,68.0,Santander,68669.0,San Andrés,Población total de hombres,"4.541,00",2018.0
462751,68.0,Santander,68673.0,San Benito,Población total de hombres,"1.592,00",2018.0
462752,68.0,Santander,68679.0,San Gil,Población total de hombres,"26.798,00",2018.0
462753,68.0,Santander,68682.0,San Joaquín,Población total de hombres,"1.163,00",2018.0
462754,68.0,Santander,68684.0,San José de Miranda,Población total de hombres,"2.260,00",2018.0
462755,68.0,Santander,68686.0,San Miguel,Población total de hombres,"1.356,00",2018.0
462756,68.0,Santander,68689.0,San Vicente de Chucurí,Población total de hombres,"17.311,00",2018.0
462757,68.0,Santander,68705.0,Santa Bárbara,Población total de hombres,"1.302,00",2018.0
462758,68.0,Santander,68720.0,Santa Helena del Opón,Población total de hombres,"1.786,00",2018.0
462759,68.0,Santander,68745.0,Simacota,Población total de hombres,"5.364,00",2018.0
462760,68.0,Santander,68755.0,Socorro,Población total de hombres,"15.638,00",2018.0
462761,68.0,Santander,68770.0,Suaita,Población total de hombres,"5.092,00",2018.0
462762,68.0,Santander,68773.0,Sucre,Población total de hombres,"3.708,00",2018.0
462763,68.0,Santander,68780.0,Suratá,Población total de hombres,"2.055,00",2018.0
462764,68.0,Santander,68820.0,Tona,Población total de hombres,"3.941,00",2018.0
462765,68.0,Santander,68855.0,Valle de San José,Población total de hombres,"3.081,00",2018.0
462766,68.0,Santander,68861.0,Vélez,Población total de hombres,"12.766,00",2018.0
462768,68.0,Santander,68001.0,Bucaramanga,Población total de hombres,"275.757,00",2018.0
462769,68.0,Santander,68013.0,Aguada,Población total de hombres,"958,00",2018.0
462770,68.0,Santander,68020.0,Albania,Población total de hombres,"2.163,00",2018.0
462771,68.0,Santander,68051.0,Aratoca,Población total de hombres,"4.220,00",2018.0
462772,68.0,Santander,68077.0,Barbosa,Población total de hombres,"15.046,00",2018.0
462773,68.0,Santander,68079.0,Barichara,Población total de hombres,"5.102,00",2018.0
462774,68.0,Santander,68081.0,Barrancabermeja,Población total de hombres,"99.000,00",2018.0
462775,68.0,Santander,68092.0,Betulia,Población total de hombres,"3.166,00",2018.0
462776,68.0,Santander,68101.0,Bolívar,Población total de hombres,"5.792,00",2018.0
462777,68.0,Santander,68121.0,Cabrera,Población total de hombres,"966,00",2018.0
462778,68.0,Santander,68132.0,California,Población total de hombres,"1.095,00",2018.0
462779,68.0,Santander,68147.0,Capitanejo,Población total de hombres,"2.772,00",2018.0
462780,68.0,Santander,68152.0,Carcasí,Población total de hombres,"2.296,00",2018.0
462781,68.0,Santander,68160.0,Cepitá,Población total de hombres,"1.029,00",2018.0
462782,68.0,Santander,68162.0,Cerrito,Población total de hombres,"3.544,00",2018.0
462783,68.0,Santander,68167.0,Charalá,Población total de hombres,"6.096,00",2018.0
462784,68.0,Santander,68169.0,Charta,Población total de hombres,"1.494,00",2018.0
462785,68.0,Santander,68176.0,Chima,Población total de hombres,"1.496,00",2018.0
462786,68.0,Santander,68179.0,Chipatá,Población total de hombres,"2.651,00",2018.0
462787,68.0,Santander,68190.0,Cimitarra,Población total de hombres,"16.983,00",2018.0
462788,20.0,Cesar,20770.0,San Martín,Población total de hombres,"13.602,00",2018.0
462789,20.0,Cesar,20710.0,San Alberto,Población total de hombres,"13.093,00",2018.0
462790,20.0,Cesar,20750.0,San Diego,Población total de hombres,"9.598,00",2018.0
462792,20.0,Cesar,20001.0,Valledupar,Población total de hombres,"238.414,00",2018.0
462793,20.0,Cesar,20011.0,Aguachica,Población total de hombres,"53.258,00",2018.0
462794,20.0,Cesar,20013.0,Agustín Codazzi,Población total de hombres,"30.583,00",2018.0
462795,20.0,Cesar,20032.0,Astrea,Población total de hombres,"10.337,00",2018.0
462796,20.0,Cesar,20045.0,Becerril,Población total de hombres,"11.039,00",2018.0
462797,20.0,Cesar,20060.0,Bosconia,Población total de hombres,"20.143,00",2018.0
462798,20.0,Cesar,20175.0,Chimichagua,Población total de hombres,"17.211,00",2018.0
462799,20.0,Cesar,20178.0,Chiriguaná,Población total de hombres,"13.820,00",2018.0
462800,20.0,Cesar,20228.0,Curumaní,Población total de hombres,"18.627,00",2018.0
462801,20.0,Cesar,20238.0,El Copey,Población total de hombres,"15.163,00",2018.0
462802,20.0,Cesar,20250.0,El Paso,Población total de hombres,"18.757,00",2018.0
462803,20.0,Cesar,20295.0,Gamarra,Población total de hombres,"7.554,00",2018.0
462804,20.0,Cesar,20310.0,González,Población total de hombres,"2.282,00",2018.0
462805,20.0,Cesar,20383.0,La Gloria,Población total de hombres,"8.869,00",2018.0
462806,20.0,Cesar,20400.0,La Jagua de Ibirico,Población total de hombres,"23.393,00",2018.0
462807,20.0,Cesar,20443.0,Manaure,Población total de hombres,"5.096,00",2018.0
462808,20.0,Cesar,20517.0,Pailitas,Población total de hombres,"9.169,00",2018.0
462809,20.0,Cesar,20787.0,Tamalameque,Población total de hombres,"7.656,00",2018.0
462810,20.0,Cesar,20550.0,Pelaya,Población total de hombres,"10.401,00",2018.0
462811,20.0,Cesar,20570.0,Pueblo Bello,Población total de hombres,"13.742,00",2018.0
462812,20.0,Cesar,20614.0,Río de Oro,Población total de hombres,"8.560,00",2018.0
462813,20.0,Cesar,20621.0,La Paz,Población total de hombres,"13.963,00",2018.0
462815,19.0,Cauca,19001.0,Popayán,Población total de hombres,"152.710,00",2018.0
462816,19.0,Cauca,19022.0,Almaguer,Población total de hombres,"9.216,00",2018.0
462817,19.0,Cauca,19050.0,Argelia,Población total de hombres,"13.613,00",2018.0
462818,19.0,Cauca,19075.0,Balboa,Población total de hombres,"10.614,00",2018.0
462819,19.0,Cauca,19100.0,Bolívar,Población total de hombres,"19.320,00",2018.0
462820,19.0,Cauca,19110.0,Buenos Aires,Población total de hombres,"15.667,00",2018.0
462821,19.0,Cauca,19130.0,Cajibío,Población total de hombres,"21.533,00",2018.0
462822,19.0,Cauca,19137.0,Caldono,Población total de hombres,"20.372,00",2018.0
462823,19.0,Cauca,19142.0,Caloto,Población total de hombres,"15.001,00",2018.0
462824,19.0,Cauca,19212.0,Corinto,Población total de hombres,"12.687,00",2018.0
462825,19.0,Cauca,19256.0,El Tambo,Población total de hombres,"27.642,00",2018.0
462826,19.0,Cauca,19290.0,Florencia,Población total de hombres,"2.659,00",2018.0
462827,19.0,Cauca,19300.0,Guachené,Población total de hombres,"9.174,00",2018.0
462828,19.0,Cauca,19318.0,Guapi,Población total de hombres,"13.734,00",2018.0
462829,19.0,Cauca,19355.0,Inzá,Población total de hombres,"14.619,00",2018.0
462830,19.0,Cauca,19364.0,Jambaló,Población total de hombres,"8.974,00",2018.0
462831,19.0,Cauca,19392.0,La Sierra,Población total de hombres,"5.502,00",2018.0
462832,19.0,Cauca,19397.0,La Vega,Población total de hombres,"12.469,00",2018.0
462833,19.0,Cauca,19418.0,López,Población total de hombres,"9.424,00",2018.0
462834,19.0,Cauca,19450.0,Mercaderes,Población total de hombres,"11.438,00",2018.0
