,Código Departamento,Departamento,Código Entidad,Entidad,Indicador,Dato Numérico,Año
38546,97.0,Vaupés,97666.0,Taraira,MDM,"33,44",2016.0
38547,97.0,Vaupés,97161.0,Carurú,MDM,"38,45",2016.0
38548,97.0,Vaupés,97001.0,Mitú,MDM,"50,09",2016.0
38549,99.0,Vichada,99773.0,Cumaribo,MDM,"40,94",2016.0
38550,99.0,Vichada,99624.0,Santa Rosalía,MDM,"45,95",2016.0
38551,99.0,Vichada,99001.0,Puerto Carreño,MDM,"53,33",2016.0
38552,99.0,Vichada,99524.0,La Primavera,MDM,"44,34",2016.0
38553,95.0,Guaviare,95001.0,San José del Guaviare,MDM,"51,08",2016.0
38554,95.0,Guaviare,95015.0,Calamar,MDM,"46,36",2016.0
38555,95.0,Guaviare,95200.0,Miraflores,MDM,"25,99",2016.0
38556,95.0,Guaviare,95025.0,El Retorno,MDM,"41,80",2016.0
38557,94.0,Guainía,94001.0,Inírida,MDM,"33,12",2016.0
38558,88.0,San Andrés y Providencia,88564.0,Providencia,MDM,"45,94",2016.0
38559,91.0,Amazonas,91001.0,Leticia,MDM,"48,92",2016.0
38560,91.0,Amazonas,91540.0,Puerto Nariño,MDM,"40,18",2016.0
38561,86.0,Putumayo,86569.0,Puerto Caicedo,MDM,"35,57",2016.0
38562,86.0,Putumayo,86571.0,Puerto Guzmán,MDM,"39,88",2016.0
38563,86.0,Putumayo,86573.0,Puerto Leguízamo,MDM,"30,43",2016.0
38564,86.0,Putumayo,86749.0,Sibundoy,MDM,"48,39",2016.0
38565,86.0,Putumayo,86755.0,San Francisco,MDM,"47,76",2016.0
38566,86.0,Putumayo,86757.0,San Miguel,MDM,"37,93",2016.0
38567,86.0,Putumayo,86760.0,Santiago,MDM,"38,76",2016.0
38568,86.0,Putumayo,86865.0,Valle del Guamuez,MDM,"41,54",2016.0
38569,86.0,Putumayo,86885.0,Villagarzón,MDM,"45,47",2016.0
38570,86.0,Putumayo,86001.0,Mocoa,MDM,"48,07",2016.0
38571,86.0,Putumayo,86219.0,Colón,MDM,"35,02",2016.0
38572,86.0,Putumayo,86320.0,Orito,MDM,"42,77",2016.0
38573,86.0,Putumayo,86568.0,Puerto Asís,MDM,"33,00",2016.0
38574,85.0,Casanare,85125.0,Hato Corozal,MDM,"45,27",2016.0
38575,85.0,Casanare,85136.0,La Salina,MDM,"41,10",2016.0
38576,85.0,Casanare,85139.0,Maní,MDM,"55,39",2016.0
38577,85.0,Casanare,85162.0,Monterrey,MDM,"46,79",2016.0
38578,85.0,Casanare,85225.0,Nunchía,MDM,"52,54",2016.0
38579,85.0,Casanare,85230.0,Orocué,MDM,"48,76",2016.0
38580,85.0,Casanare,85250.0,Paz de Ariporo,MDM,"58,18",2016.0
38581,85.0,Casanare,85263.0,Pore,MDM,"56,87",2016.0
38582,85.0,Casanare,85279.0,Recetor,MDM,"50,72",2016.0
38583,85.0,Casanare,85300.0,Sabanalarga,MDM,"52,64",2016.0
38584,85.0,Casanare,85315.0,Sácama,MDM,"38,16",2016.0
38585,85.0,Casanare,85325.0,San Luis de Palenque,MDM,"49,20",2016.0
38586,85.0,Casanare,85400.0,Támara,MDM,"41,48",2016.0
38587,85.0,Casanare,85410.0,Tauramena,MDM,"55,35",2016.0
38588,85.0,Casanare,85440.0,Villanueva,MDM,"49,54",2016.0
38589,85.0,Casanare,85430.0,Trinidad,MDM,"45,91",2016.0
38591,81.0,Arauca,81065.0,Arauquita,MDM,"45,53",2016.0
38592,81.0,Arauca,81220.0,Cravo Norte,MDM,"56,22",2016.0
38593,81.0,Arauca,81300.0,Fortul,MDM,"47,26",2016.0
38594,81.0,Arauca,81591.0,Puerto Rondón,MDM,"51,02",2016.0
38595,81.0,Arauca,81736.0,Saravena,MDM,"53,87",2016.0
38596,81.0,Arauca,81794.0,Tame,MDM,"50,76",2016.0
38597,85.0,Casanare,85001.0,Yopal,MDM,"62,12",2016.0
38598,85.0,Casanare,85010.0,Aguazul,MDM,"50,15",2016.0
38599,85.0,Casanare,85015.0,Chámeza,MDM,"39,52",2016.0
38600,76.0,Valle del Cauca,76001.0,Cali,MDM,"77,20",2016.0
38601,76.0,Valle del Cauca,76020.0,Alcalá,MDM,"52,48",2016.0
38602,76.0,Valle del Cauca,76036.0,Andalucía,MDM,"55,27",2016.0
38603,76.0,Valle del Cauca,76041.0,Ansermanuevo,MDM,"53,14",2016.0
38604,76.0,Valle del Cauca,76054.0,Argelia,MDM,"47,84",2016.0
38605,76.0,Valle del Cauca,76100.0,Bolívar,MDM,"56,76",2016.0
38606,76.0,Valle del Cauca,76109.0,Buenaventura,MDM,"53,65",2016.0
38607,76.0,Valle del Cauca,76111.0,Guadalajara de Buga,MDM,"64,82",2016.0
38608,76.0,Valle del Cauca,76113.0,Bugalagrande,MDM,"55,45",2016.0
38609,76.0,Valle del Cauca,76122.0,Caicedonia,MDM,"50,67",2016.0
38610,76.0,Valle del Cauca,76126.0,Calima,MDM,"53,90",2016.0
38611,76.0,Valle del Cauca,76130.0,Candelaria,MDM,"62,87",2016.0
38612,76.0,Valle del Cauca,76147.0,Cartago,MDM,"62,50",2016.0
