,municipio_productor,departamento,recurso_natural,a_o_produccion,valor_contraprestacion
0,Medellin,Antioquia,ARCILLA,2018,614258.0
1,Medellin,Antioquia,ARCILLAS CERAMICAS,2014,2036781.0
2,Medellin,Antioquia,ARCILLAS FERRUGINOSAS,2012,836927.0
3,Medellin,Antioquia,ARCILLAS MISCELANEAS,2019,5763839.0
4,Medellin,Antioquia,ARCILLAS MISCELANEAS,2019,5802546.0
5,Medellin,Antioquia,ARCILLAS MISCELANEAS,2019,6665343.0
6,Medellin,Antioquia,ARCILLAS MISCELANEAS,2012,493082.0
7,Medellin,Antioquia,ARCILLAS MISCELANEAS,2013,13286424.0
8,Medellin,Antioquia,ARCILLAS MISCELANEAS,2014,26500149.0
9,Medellin,Antioquia,ARCILLAS MISCELANEAS,2015,1534948.0
10,Medellin,Antioquia,ARCILLAS MISCELANEAS,2016,19108408.0
11,Medellin,Antioquia,ARCILLAS MISCELANEAS,2017,21317426.0
12,Medellin,Antioquia,ARCILLAS MISCELANEAS,2018,11618715.0
13,Medellin,Antioquia,ARCILLAS MISCELANEAS,2019,4097548.0
14,Medellin,Antioquia,ARENAS,2018,3211420.0
15,Medellin,Antioquia,ARENAS,2021,9680222.0
16,Medellin,Antioquia,ARENAS,2018,4689112.0
17,Medellin,Antioquia,ARENAS,2020,5155682.0
18,Medellin,Antioquia,ARENAS,2021,11318585.0
19,Medellin,Antioquia,ARENAS,2018,6470642.0
20,Medellin,Antioquia,ARENAS,2020,14334387.0
21,Medellin,Antioquia,ARENAS,2015,4705592.0
22,Medellin,Antioquia,ARENAS,2017,13221451.0
23,Medellin,Antioquia,ARENAS,2018,7240694.0
24,Medellin,Antioquia,ARENAS,2020,5145781.0
25,Medellin,Antioquia,ARENA DE CANTERA,2012,997363.0
26,Medellin,Antioquia,ARENA DE CANTERA,2013,1428743.0
27,Medellin,Antioquia,ARENA DE CANTERA,2015,2504584.0
28,Medellin,Antioquia,ARENA DE CANTERA,2016,171111.0
29,Medellin,Antioquia,ARENA DE CANTERA,2013,1376957.0
30,Medellin,Antioquia,ARENA DE CANTERA,2014,1198872.0
31,Florida,Valle del Cauca,RECEBO,2020,392591.0
32,Medellin,Antioquia,ARENA DE CANTERA,2013,2613617.0
33,Medellin,Antioquia,ARENA DE CANTERA,2014,3622609.0
34,Medellin,Antioquia,ARENA DE CANTERA,2012,496508.0
35,Medellin,Antioquia,ARENA DE CANTERA,2013,1956070.0
36,Medellin,Antioquia,ARENA DE RIO,2012,271644.0
37,Medellin,Antioquia,ARENA DE RIO,2012,278007.0
38,Medellin,Antioquia,GRAVA DE CANTERA,2012,1747385.0
39,Medellin,Antioquia,GRAVA DE CANTERA,2013,2238208.0
40,Medellin,Antioquia,GRAVA DE CANTERA,2015,2999833.0
41,Medellin,Antioquia,GRAVA DE CANTERA,2013,2625052.0
42,Medellin,Antioquia,GRAVA DE CANTERA,2014,1900926.0
43,Medellin,Antioquia,GRAVA DE CANTERA,2013,3406692.0
44,Medellin,Antioquia,GRAVA DE CANTERA,2014,4943518.0
45,Medellin,Antioquia,GRAVA DE CANTERA,2012,1099183.0
46,Medellin,Antioquia,GRAVA DE CANTERA,2013,2608387.0
47,Medellin,Antioquia,RECEBO,2013,445890.0
48,Medellin,Antioquia,RECEBO,2014,473947.0
49,Medellin,Antioquia,RECEBO,2018,900823.0
50,Medellin,Antioquia,RECEBO,2013,1000830.0
51,Medellin,Antioquia,RECEBO,2014,1450872.0
52,Medellin,Antioquia,RECEBO,2018,1024917.0
53,Medellin,Antioquia,RECEBO,2020,130595.0
54,Medellin,Antioquia,RECEBO,2013,739364.0
55,Medellin,Antioquia,RECEBO,2014,2459697.0
56,Medellin,Antioquia,RECEBO,2018,223761.0
57,Medellin,Antioquia,RECEBO,2013,2367333.0
58,Medellin,Antioquia,RECEBO,2015,9696585.0
59,Medellin,Antioquia,RECEBO,2016,19423347.0
60,Medellin,Antioquia,RECEBO,2017,24791294.0
61,Medellin,Antioquia,RECEBO,2018,17356037.0
62,Medellin,Antioquia,GRAVAS,2017,5593774.0
63,Medellin,Antioquia,GRAVAS,2018,3004740.0
64,Medellin,Antioquia,GRAVAS,2021,8370292.0
65,Medellin,Antioquia,GRAVAS,2017,4603334.0
66,Medellin,Antioquia,GRAVAS,2018,3612385.0
67,Medellin,Antioquia,GRAVAS,2020,3044125.0
68,Medellin,Antioquia,GRAVAS,2021,9866451.0
69,Medellin,Antioquia,GRAVAS,2017,4313316.0
70,Medellin,Antioquia,GRAVAS,2018,5255838.0
71,Medellin,Antioquia,GRAVAS,2020,6270249.0
72,Medellin,Antioquia,GRAVAS,2012,5181400.0
73,Medellin,Antioquia,GRAVAS,2013,5443554.0
74,Medellin,Antioquia,GRAVAS,2014,4491117.0
75,Medellin,Antioquia,GRAVAS,2015,32952958.0
76,Medellin,Antioquia,GRAVAS,2016,8079457.0
77,Medellin,Antioquia,GRAVAS,2017,46119106.0
78,Medellin,Antioquia,GRAVAS,2018,21082521.0
79,Medellin,Antioquia,GRAVAS,2020,7067953.0
80,Medellin,Antioquia,ORO,2012,54337944.0
81,Medellin,Antioquia,ORO,2012,61057047.0
82,Medellin,Antioquia,ORO,2012,78266238.0
83,Medellin,Antioquia,PLATA,2012,179431.0
84,Medellin,Antioquia,PLATA,2012,216835.0
85,Medellin,Antioquia,PLATA,2012,1258.0
86,Abejorral,Antioquia,CALIZAS,2013,11784317.0
87,Abejorral,Antioquia,CALIZAS,2018,2783489.0
88,Abejorral,Antioquia,CALIZAS,2019,4020379.0
89,Abejorral,Antioquia,CALIZAS,2020,1416246.0
90,Abejorral,Antioquia,CALIZAS,2018,3659452.0
91,Abejorral,Antioquia,CALIZAS,2019,4845412.0
92,Abejorral,Antioquia,CALIZAS,2018,5732763.0
93,Abejorral,Antioquia,CALIZAS,2012,11211408.0
94,Abejorral,Antioquia,CALIZAS,2013,34920433.0
95,Abejorral,Antioquia,CALIZAS,2014,46245378.0
96,Abejorral,Antioquia,CALIZAS,2015,60328590.0
97,Abejorral,Antioquia,CALIZAS,2016,32477757.0
98,Abejorral,Antioquia,CALIZAS,2017,23522603.0
99,Abejorral,Antioquia,CALIZAS,2018,4656453.0
100,Abejorral,Antioquia,CALIZAS,2019,5163862.0
101,Abejorral,Antioquia,MARMOL,2013,219099.0
102,Abejorral,Antioquia,ARCILLAS CERAMICAS,2014,2422776.0
103,Abejorral,Antioquia,ARCILLAS CERAMICAS,2015,2423289.0
104,Abejorral,Antioquia,ARCILLAS CERAMICAS,2019,1772752.0
105,Abejorral,Antioquia,ARCILLAS CERAMICAS,2015,2505456.0
106,Abejorral,Antioquia,ARCILLAS CERAMICAS,2019,1835851.0
107,Abejorral,Antioquia,ARCILLAS CERAMICAS,2016,1717480.0
108,Abejorral,Antioquia,ARCILLAS CERAMICAS,2019,1835851.0
109,Abejorral,Antioquia,ARCILLAS CERAMICAS,2013,6446232.0
110,Abejorral,Antioquia,ARCILLAS CERAMICAS,2014,5216232.0
111,Abejorral,Antioquia,ARCILLAS CERAMICAS,2015,2644567.0
112,Abejorral,Antioquia,ARCILLAS CERAMICAS,2016,5152440.0
113,Abejorral,Antioquia,ARCILLAS CERAMICAS,2017,6912667.0
114,Abejorral,Antioquia,ARCILLAS CERAMICAS,2018,7049985.0
115,Abejorral,Antioquia,ARCILLAS CERAMICAS,2019,1835851.0
116,Abejorral,Antioquia,RECEBO,2014,186687.0
117,Abejorral,Antioquia,ORO,2013,603237.0
118,Abejorral,Antioquia,ORO,2016,792963.0
119,Abejorral,Antioquia,ORO,2014,580478.0
120,Abejorral,Antioquia,ORO,2016,4441859.0
121,Abejorral,Antioquia,ORO,2017,840290.0
122,Abejorral,Antioquia,ORO,2016,4712723.0
123,Abejorral,Antioquia,ORO,2020,133820.0
124,Abejorral,Antioquia,ORO,2015,7198211.0
125,Abejorral,Antioquia,ORO,2016,824385.0
126,Abejorral,Antioquia,ORO,2016,488023.0
127,Abejorral,Antioquia,ORO,2016,3787105.0
128,Abejorral,Antioquia,ORO,2016,1704468.0
129,Abejorral,Antioquia,ORO,2013,2719465.0
130,Abejorral,Antioquia,ORO,2015,5187657.0
131,Abejorral,Antioquia,ORO,2016,794043.0
132,Abejorral,Antioquia,ORO,2012,1701014.0
133,Abejorral,Antioquia,ORO,2016,1614236.0
134,Abejorral,Antioquia,ORO,2012,506359.0
135,Abejorral,Antioquia,ORO,2015,9259777.0
136,Abejorral,Antioquia,ORO,2016,2641046.0
137,Abejorral,Antioquia,ORO,2013,1358938.0
138,Abejorral,Antioquia,ORO,2016,2389984.0
139,Abejorral,Antioquia,ORO,2012,1233199.0
140,Abejorral,Antioquia,ORO,2015,424326.0
141,Abejorral,Antioquia,ORO,2016,905675.0
142,Abejorral,Antioquia,PLATA,2020,156.0
143,Abejorral,Antioquia,PLATA,2013,15975.0
144,Abriaqui,Antioquia,ORO,2012,493047.0
145,Abriaqui,Antioquia,ORO,2013,425712.0
146,Abriaqui,Antioquia,ORO,2014,1231281.0
147,Abriaqui,Antioquia,ORO,2018,14609831.0
148,Abriaqui,Antioquia,ORO,2012,624658.0
149,Abriaqui,Antioquia,ORO,2013,793626.0
150,Abriaqui,Antioquia,ORO,2014,394070.0
151,Abriaqui,Antioquia,ORO,2012,1129812.0
152,Abriaqui,Antioquia,ORO,2013,2079447.0
153,Abriaqui,Antioquia,ORO,2014,487241.0
154,Abriaqui,Antioquia,ORO,2018,10855451.0
155,Abriaqui,Antioquia,ORO,2020,18310150.0
156,Abriaqui,Antioquia,ORO,2021,23694826.0
157,Abriaqui,Antioquia,ORO,2012,218400.0
158,Abriaqui,Antioquia,ORO,2013,1082889.0
159,Abriaqui,Antioquia,ORO,2014,537064.0
160,Abriaqui,Antioquia,ORO,2018,18330248.0
161,Abriaqui,Antioquia,ORO,2013,865505.0
162,Abriaqui,Antioquia,ORO,2012,44026.0
163,Abriaqui,Antioquia,ORO,2013,2923702.0
164,Abriaqui,Antioquia,ORO,2014,344351.0
165,Abriaqui,Antioquia,ORO,2015,9186757.0
166,Abriaqui,Antioquia,ORO,2019,20733499.0
167,Abriaqui,Antioquia,ORO,2021,11207472.0
168,Abriaqui,Antioquia,ORO,2013,1389478.0
169,Abriaqui,Antioquia,ORO,2012,1874119.0
170,Abriaqui,Antioquia,ORO,2013,1347696.0
171,Abriaqui,Antioquia,ORO,2012,2933768.0
