,Código Departamento,Departamento,Código Entidad,Entidad,Indicador,Dato Numérico,Año
57835,99.0,Vichada,99624.0,Santa Rosalía,Cobertura de acueducto (REC),98.97,2008.0
57836,99.0,Vichada,99773.0,Cumaribo,Cobertura de acueducto (REC),24.55,2008.0
57838,99.0,Vichada,99001.0,Puerto Carreño,Cobertura de acueducto (REC),47.43,2008.0
57839,99.0,Vichada,99524.0,La Primavera,Cobertura de acueducto (REC),14.06,2008.0
57842,97.0,Vaupés,97161.0,Carurú,Cobertura de acueducto (REC),53.23,2008.0
57843,97.0,Vaupés,97666.0,Taraira,Cobertura de acueducto (REC),78.7,2008.0
57844,95.0,Guaviare,95025.0,El Retorno,Cobertura de acueducto (REC),40.57,2008.0
57845,95.0,Guaviare,95200.0,Miraflores,Cobertura de acueducto (REC),8.91,2008.0
57847,95.0,Guaviare,95001.0,San José del Guaviare,Cobertura de acueducto (REC),6.84,2008.0
57848,95.0,Guaviare,95015.0,Calamar,Cobertura de acueducto (REC),57.65,2008.0
57850,94.0,Guainía,94001.0,Inírida,Cobertura de acueducto (REC),19.26,2008.0
57852,91.0,Amazonas,91001.0,Leticia,Cobertura de acueducto (REC),70.3,2008.0
57853,91.0,Amazonas,91540.0,Puerto Nariño,Cobertura de acueducto (REC),97.7,2008.0
57854,88.0,San Andrés y Providencia,88564.0,Providencia,Cobertura de acueducto (REC),49.38,2008.0
57856,86.0,Putumayo,86865.0,Valle del Guamuez,Cobertura de acueducto (REC),8.36,2008.0
57858,86.0,Putumayo,86749.0,Sibundoy,Cobertura de acueducto (REC),100.0,2008.0
57859,86.0,Putumayo,86755.0,San Francisco,Cobertura de acueducto (REC),99.31,2008.0
57860,86.0,Putumayo,86757.0,San Miguel,Cobertura de acueducto (REC),0.02,2008.0
57861,86.0,Putumayo,86760.0,Santiago,Cobertura de acueducto (REC),100.0,2008.0
57865,86.0,Putumayo,86320.0,Orito,Cobertura de acueducto (REC),27.68,2008.0
57866,86.0,Putumayo,86568.0,Puerto Asís,Cobertura de acueducto (REC),6.93,2008.0
57867,86.0,Putumayo,86569.0,Puerto Caicedo,Cobertura de acueducto (REC),17.74,2008.0
57868,86.0,Putumayo,86571.0,Puerto Guzmán,Cobertura de acueducto (REC),100.0,2008.0
57869,86.0,Putumayo,86573.0,Puerto Leguízamo,Cobertura de acueducto (REC),61.53,2008.0
57870,85.0,Casanare,85430.0,Trinidad,Cobertura de acueducto (REC),32.07,2008.0
57871,85.0,Casanare,85440.0,Villanueva,Cobertura de acueducto (REC),78.69,2008.0
57872,85.0,Casanare,85315.0,Sácama,Cobertura de acueducto (REC),19.87,2008.0
57873,85.0,Casanare,85325.0,San Luis de Palenque,Cobertura de acueducto (REC),100.0,2008.0
57874,85.0,Casanare,85400.0,Támara,Cobertura de acueducto (REC),4.07,2008.0
57875,85.0,Casanare,85410.0,Tauramena,Cobertura de acueducto (REC),47.59,2008.0
